,DATE,GDP
86,1968-07-01,-0.8407142537641065
87,1968-10-01,-0.8384098646941053
88,1969-01-01,-0.8350203166444381
89,1969-04-01,-0.8329197799524982
90,1969-07-01,-0.8301156712881828
91,1969-10-01,-0.8290185919000758
92,1970-01-01,-0.8272703099744306
93,1970-04-01,-0.8251038761931304
94,1970-07-01,-0.8226013940435283
95,1970-10-01,-0.8222599881882866
96,1971-01-01,-0.8160254806363879
97,1971-04-01,-0.8131973972180168
98,1971-07-01,-0.8103306059565052
99,1971-10-01,-0.8086400509526369
100,1972-01-01,-0.8032407756146601
101,1972-04-01,-0.7984511822904379
102,1972-07-01,-0.7952103045033515
103,1972-10-01,-0.7900754211458563
104,1973-01-01,-0.7835679496343723
105,1973-04-01,-0.778693038330633
106,1973-07-01,-0.7760208577822113
107,1973-10-01,-0.7703350908301263
108,1974-01-01,-0.7683367482015638
109,1974-04-01,-0.763133690822759
110,1974-07-01,-0.7591195937330794
111,1974-10-01,-0.7538085829924366
112,1975-01-01,-0.7516070576716803
113,1975-04-01,-0.7468205449024485
114,1975-07-01,-0.7390566087663973
115,1975-10-01,-0.7320904024356891
116,1976-01-01,-0.724234183587099
117,1976-04-01,-0.7199689542971142
118,1976-07-01,-0.715384820597035
119,1976-10-01,-0.7089940083636662
120,1977-01-01,-0.7017111745548131
121,1977-04-01,-0.6927024263282887
122,1977-07-01,-0.6843227810056758
123,1977-10-01,-0.6781888602710727
124,1978-01-01,-0.6730336184632059
125,1978-04-01,-0.6557727331032368
126,1978-07-01,-0.647278437560111
127,1978-10-01,-0.6363095187994705
128,1979-01-01,-0.6296580648264782
129,1979-04-01,-0.6210007677432076
130,1979-07-01,-0.6107789505363287
131,1979-10-01,-0.6032358767993725
132,1980-01-01,-0.5944015147727401
133,1980-04-01,-0.5933956465997839
134,1980-07-01,-0.5854758075937831
135,1980-10-01,-0.5681880008619414
136,1981-01-01,-0.5496177456938739
137,1981-04-01,-0.5444844695824604
138,1981-07-01,-0.5313483134174788
139,1981-10-01,-0.5286415770782951
140,1982-01-01,-0.529514311700796
141,1982-04-01,-0.521790154905273
142,1982-07-01,-0.5171894129956803
143,1982-10-01,-0.5123356637653534
144,1983-01-01,-0.5028459471488044
145,1983-04-01,-0.48872428126123796
146,1983-07-01,-0.4739468589722344
147,1983-10-01,-0.45981287086470635
148,1984-01-01,-0.4446313601232649
149,1984-04-01,-0.4310304419662515
150,1984-07-01,-0.42103216590193754
151,1984-10-01,-0.41241987170896166
152,1985-01-01,-0.40148832141972657
153,1985-04-01,-0.39282004148822935
154,1985-07-01,-0.3805130903643622
155,1985-10-01,-0.3728356776423895
156,1986-01-01,-0.3642904859733352
157,1986-04-01,-0.35927507457459845
158,1986-07-01,-0.35092690448775704
159,1986-10-01,-0.34423567117423637
160,1987-01-01,-0.3355928393057035
161,1987-04-01,-0.32434158098333304
162,1987-07-01,-0.3138415762671024
163,1987-10-01,-0.29730850550791144
164,1988-01-01,-0.28855196097908015
165,1988-04-01,-0.2729263145703255
166,1988-07-01,-0.26049707880705647
167,1988-10-01,-0.24487009302656684
168,1989-01-01,-0.22990341751141327
169,1989-04-01,-0.21634763618186809
170,1989-07-01,-0.20524397662469038
171,1989-10-01,-0.19829638756109813
172,1990-01-01,-0.18149209402557737
173,1990-04-01,-0.16979576247567918
174,1990-07-01,-0.1624174314621234
175,1990-10-01,-0.16380810113453387
176,1991-01-01,-0.15973038388744368
177,1991-04-01,-0.14745048807262276
178,1991-07-01,-0.13685940607841485
179,1991-10-01,-0.12901028590002006
180,1992-01-01,-0.1158091702058927
181,1992-04-01,-0.10138936017012384
182,1992-07-01,-0.08854773184966017
183,1992-10-01,-0.07325719624899284
184,1993-01-01,-0.06674034913536424
185,1993-04-01,-0.0560950225858903
186,1993-07-01,-0.046296312910085624
187,1993-10-01,-0.0286648233910526
188,1994-01-01,-0.015014750291366159
189,1994-04-01,0.00256838790803465
190,1994-07-01,0.013838397434694595
191,1994-10-01,0.030475135566171648
192,1995-01-01,0.039449060127587116
193,1995-04-01,0.04731224370919907
194,1995-07-01,0.06099097936401368
195,1995-10-01,0.07297313284215265
196,1996-01-01,0.0858152969113103
197,1996-04-01,0.10783081799321925
198,1996-07-01,0.12103273731038763
199,1996-10-01,0.13822531471187377
200,1997-01-01,0.1520053068698515
201,1997-04-01,0.17292227525474502
202,1997-07-01,0.19220896036384336
203,1997-10-01,0.20601573995652017
